scenario,path,D,p,T,N,time_s,mem_mb,allocs
small,TD,3,5,100,4,0.082547,135.098,440652
small,Poisson,3,5,100,4,0.176659,235.131,973006
medium,TD,5,10,200,8,0.530612,1243.034,1582730
medium,Poisson,5,10,200,8,1.700267,1969.156,4340406
large,TD,8,16,500,16,6.837325,14572.188,7385294
large,Poisson,8,16,500,16,20.719036,22130.116,20258857
long_single,TD,4,8,2000,1,0.619144,1065.588,1822272
long_single,Poisson,4,8,2000,1,1.854930,1801.688,5118436
many_short,TD,3,5,50,64,0.512538,1112.907,3818823
many_short,Poisson,3,5,50,64,1.468046,1874.469,9969983
